index,type,land_type,prefecture,city,city2,station_name,building_year,station_dis,price,price_per_tsubo,room,area,land_shape,frontage,gross_floor_area,building_type,city_plan,BCR,FAR
8511,中古マンション等,,千葉県,船橋市,本中山,下総中山,2015,10,45000000,,３ＬＤＫ,65,,,,ＲＣ,第１種住居地域,60,200
8512,中古マンション等,,千葉県,船橋市,本中山,下総中山,1972,9,19000000,,２ＬＤＫ,65,,,,ＲＣ,第１種住居地域,60,200
8513,中古マンション等,,千葉県,船橋市,本中山,下総中山,2015,11,37000000,,１ＤＫ,55,,,,ＲＣ,第１種住居地域,60,200
8514,宅地(土地と建物),住宅地,千葉県,船橋市,八木が谷,二和向台,1989,18,12000000,,,145,ほぼ整形,12,85,木造,第１種低層住居専用地域,50,100
8515,宅地(土地と建物),住宅地,千葉県,船橋市,薬円台,習志野,1994,4,6500000,,,55,長方形,5,60,木造,第１種住居地域,60,200
8516,中古マンション等,,千葉県,船橋市,薬円台,習志野,2002,14,20000000,,３ＬＤＫ,80,,,,ＲＣ,第１種住居地域,60,200
8517,中古マンション等,,千葉県,船橋市,薬円台,習志野,1993,3,3000000,,１Ｋ,15,,,,ＲＣ,第２種中高層住居専用地域,60,200
8518,中古マンション等,,千葉県,船橋市,薬円台,習志野,1998,1,24000000,,３ＬＤＫ,60,,,,ＲＣ,第１種住居地域,60,200
8519,宅地(土地と建物),住宅地,千葉県,船橋市,薬円台,薬園台,1999,9,18000000,,,90,不整形,,80,木造,第１種中高層住居専用地域,60,200
8520,宅地(土地と建物),住宅地,千葉県,船橋市,薬園台町,薬園台,2022,8,38000000,,,160,袋地等,2,95,木造,第１種中高層住居専用地域,60,200
8521,宅地(土地と建物),住宅地,千葉県,船橋市,薬園台町,薬園台,2022,9,45000000,,,140,ほぼ整形,9,105,木造,第１種中高層住居専用地域,60,200
8522,宅地(土地と建物),住宅地,千葉県,船橋市,薬園台町,薬園台,2022,8,40000000,,,140,不整形,3.5,100,木造,第１種中高層住居専用地域,60,200
8523,中古マンション等,,千葉県,船橋市,山手,新船橋,1980,10,20000000,,２ＬＤＫ,55,,,,ＲＣ,第１種低層住居専用地域,,
8524,中古マンション等,,千葉県,船橋市,山手,船橋,2001,29,37000000,,４ＬＤＫ,90,,,,ＳＲＣ,工業地域,60,200
8525,中古マンション等,,千葉県,船橋市,若松,南船橋,1969,11,14000000,,２ＬＤＫ,45,,,,ＲＣ,第１種住居地域,60,200
8526,中古マンション等,,千葉県,船橋市,若松,南船橋,1969,8,14000000,,３ＤＫ,45,,,,ＲＣ,第１種住居地域,60,200
8528,宅地(土地と建物),住宅地,千葉県,館山市,上真倉,館山,1990,23,15000000,,,260,ほぼ整形,,150,木造,第１種中高層住居専用地域,60,200
8529,宅地(土地と建物),住宅地,千葉県,館山市,佐野,館山,2008,2H?,8700000,,,230,ほぼ長方形,11,50,木造,市街化区域及び市街化調整区域外の都市計画区域,70,200
8535,宅地(土地と建物),住宅地,千葉県,木更津市,大久保,木更津,1979,1H?1H30,7000000,,,200,ほぼ長方形,13,115,木造,第１種低層住居専用地域,50,100
8540,宅地(土地と建物),住宅地,千葉県,木更津市,祇園,上総清川,2018,8,13000000,,,185,不整形,9,110,木造,第１種住居地域,60,200
8541,宅地(土地と建物),住宅地,千葉県,木更津市,祇園,祇園(千葉),1964,8,5300000,,,250,ほぼ長方形,18,170,木造,第１種低層住居専用地域,50,100
8543,宅地(土地と建物),住宅地,千葉県,木更津市,祇園,木更津,1972,30分?60分,10000000,,,320,ほぼ長方形,10,160,鉄骨造,第１種低層住居専用地域,50,100
8553,宅地(土地と建物),住宅地,千葉県,木更津市,桜井新町,木更津,1980,29,9900000,,,165,長方形,9.6,75,木造,第１種住居地域,60,200
8554,宅地(土地と建物),住宅地,千葉県,木更津市,桜町,木更津,1977,18,4500000,,,155,ほぼ長方形,9.4,85,木造,第１種住居地域,60,200
8555,宅地(土地と建物),住宅地,千葉県,木更津市,請西,木更津,2022,29,21000000,,,175,ほぼ正方形,11.6,90,木造,第１種低層住居専用地域,50,100
8556,宅地(土地と建物),住宅地,千葉県,木更津市,請西,木更津,1993,20,55000000,,,840,ほぼ台形,18,520,軽量鉄骨造,第１種住居地域,60,200
8557,宅地(土地と建物),住宅地,千葉県,木更津市,請西南,木更津,2017,30分?60分,31000000,,,175,ほぼ長方形,11,110,木造,第１種低層住居専用地域,50,100
8558,宅地(土地と建物),住宅地,千葉県,木更津市,新宿,木更津,2022,12,26000000,,,220,ほぼ台形,15,100,木造,第１種住居地域,60,200
8559,宅地(土地と建物),住宅地,千葉県,木更津市,高砂,巌根,2018,4,25000000,,,170,ほぼ長方形,13.2,95,木造,第１種住居地域,60,200
8560,中古マンション等,,千葉県,木更津市,高砂,巌根,1993,8,3700000,,３ＬＤＫ,45,,,,ＲＣ,第１種住居地域,60,200
8563,宅地(土地と建物),住宅地,千葉県,木更津市,高柳,巌根,2022,11,27000000,,,185,長方形,14.5,105,木造,市街化調整区域,60,200
8565,宅地(土地と建物),商業地,千葉県,木更津市,中央,木更津,1975,9,3800000,,,130,長方形,12.5,75,木造,近隣商業地域,80,200
8567,宅地(土地と建物),商業地,千葉県,木更津市,中央,木更津,1976,11,10000000,,,85,長方形,8,100,木造,商業地域,80,400
8571,宅地(土地と建物),住宅地,千葉県,木更津市,日の出町,東清川,1980,9,18000000,,,280,長方形,13.4,100,木造,市街化調整区域,60,200
8573,宅地(土地と建物),住宅地,千葉県,木更津市,文京,木更津,2022,14,49000000,,,200,ほぼ長方形,12.8,125,,第１種住居地域,60,200
8575,宅地(土地と建物),住宅地,千葉県,木更津市,真舟,木更津,1980,26,12000000,,,230,ほぼ長方形,14,100,木造,第１種低層住居専用地域,50,100
8579,中古マンション等,,千葉県,松戸市,秋山,秋山,2008,3,26000000,,３ＬＤＫ,70,,,,ＲＣ,,,
8580,宅地(土地と建物),住宅地,千葉県,松戸市,岩瀬,松戸,1988,10,23000000,,,130,ほぼ台形,8.6,95,木造,第１種住居地域,60,200
8581,中古マンション等,,千葉県,松戸市,岩瀬,松戸,2000,8,35000000,,３ＬＤＫ,60,,,,ＲＣ,第１種住居地域,60,200
8582,中古マンション等,,千葉県,松戸市,大金平,北小金,1999,5,17000000,,３ＬＤＫ,60,,,,ＲＣ,第１種中高層住居専用地域,60,200
8583,中古マンション等,,千葉県,松戸市,大金平,北小金,2007,10,22000000,,３ＬＤＫ,70,,,,ＲＣ,第１種住居地域,60,200
8585,宅地(土地と建物),住宅地,千葉県,松戸市,大橋,北国分,1993,12,17000000,,,165,ほぼ長方形,11,145,木造,第１種低層住居専用地域,50,100
8590,宅地(土地と建物),住宅地,千葉県,松戸市,紙敷,秋山,2022,5,43000000,,,165,ほぼ整形,6,100,木造,市街化調整区域,,
8593,宅地(土地と建物),住宅地,千葉県,松戸市,上本郷,北松戸,2022,10,40000000,,,135,不整形,3,105,木造,第１種中高層住居専用地域,60,200
8594,中古マンション等,,千葉県,松戸市,上本郷,北松戸,1978,3,6000000,,１ＤＫ,35,,,,ＳＲＣ,近隣商業地域,80,300
8595,中古マンション等,,千葉県,松戸市,上本郷,北松戸,1993,3,8900000,,２ＤＫ,45,,,,ＲＣ,近隣商業地域,80,300
8596,中古マンション等,,千葉県,松戸市,上本郷,北松戸,1993,3,13000000,,,45,,,,ＲＣ,近隣商業地域,80,300
8597,宅地(土地と建物),住宅地,千葉県,松戸市,上矢切,松戸,2019,30分?60分,33000000,,,100,ほぼ長方形,,100,木造,準工業地域,60,200
8598,宅地(土地と建物),住宅地,千葉県,松戸市,北松戸,北松戸,1990,4,50000000,,,155,台形,18,135,木造,第１種住居地域,60,200
8600,宅地(土地と建物),住宅地,千葉県,松戸市,栗山,矢切,1996,5,100000000,,,540,ほぼ台形,19,240,木造,第１種低層住居専用地域,50,100
8602,宅地(土地と建物),住宅地,千葉県,松戸市,幸田,北小金,2022,20,29000000,,,100,ほぼ長方形,,100,木造,第１種低層住居専用地域,50,100
8603,宅地(土地と建物),住宅地,千葉県,松戸市,古ケ崎,北松戸,1972,20,7800000,,,90,ほぼ長方形,,60,木造,第１種低層住居専用地域,60,150
8604,宅地(土地と建物),住宅地,千葉県,松戸市,古ケ崎,北松戸,1971,18,4700000,,,80,ほぼ正方形,8.4,50,木造,第１種低層住居専用地域,60,100
